fecha_info,codigo_entidad,nombre_entidad,sector,tipo_segmento,situacion_codigo,situacion_descripcion,deudores,monto_total_miles_pesos,monto_promedio_miles_pesos,pct_deudores_segmento,pct_monto_segmento,registros_origen
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,1,Situacion normal,31844,13545240744.0,425362.4,88.88,93.95,31844
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,11,Asistencias totalmente cubiertas con garantias preferidas A,762,45434661.0,59625.5,2.13,0.32,762
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,2,Con seguimiento especial / riesgo bajo,1275,244157314.0,191495.9,3.56,1.69,1275
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,3,Con problemas / riesgo medio,739,104039167.0,140783.7,2.06,0.72,739
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,4,Con alto riesgo de insolvencia / riesgo alto,742,425905590.0,573996.8,2.07,2.95,742
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Empresas,5,Irrecuperable,467,53398481.0,114343.6,1.30,0.37,467
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,1,Situacion normal,1922795,16126130782.0,8386.8,81.32,88.30,1922795
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,11,Asistencias totalmente cubiertas con garantias preferidas A,2445,14842451.0,6070.5,0.10,0.08,2445
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,87849,727463435.0,8280.8,3.72,3.98,87849
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,3,Con problemas / riesgo medio,93703,569365498.0,6076.3,3.96,3.12,93703
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,139073,611632546.0,4397.9,5.88,3.35,139073
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Familias,5,Irrecuperable,118625,212813614.0,1794.0,5.02,1.17,118625
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,1,Situacion normal,1954639,29671371526.0,15180.0,81.43,90.79,1954639
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,11,Asistencias totalmente cubiertas con garantias preferidas A,3207,60277112.0,18795.5,0.13,0.18,3207
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,2,Con seguimiento especial / riesgo bajo,89124,971620749.0,10901.9,3.71,2.97,89124
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,3,Con problemas / riesgo medio,94442,673404665.0,7130.4,3.93,2.06,94442
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,4,Con alto riesgo de insolvencia / riesgo alto,139815,1037538136.0,7420.8,5.82,3.17,139815
202604,00011,BANCO DE LA NACION ARGENTINA,Financiero,Total,5,Irrecuperable,119092,266212095.0,2235.3,4.96,0.81,119092
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,1,Situacion normal,20118,4009166694.0,199282.6,89.78,92.27,20118
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,11,Asistencias totalmente cubiertas con garantias preferidas A,28,1102699.0,39382.1,0.12,0.03,28
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,2,Con seguimiento especial / riesgo bajo,632,158350848.0,250555.1,2.82,3.64,632
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,3,Con problemas / riesgo medio,526,60659030.0,115321.3,2.35,1.40,526
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,4,Con alto riesgo de insolvencia / riesgo alto,600,105575716.0,175959.5,2.68,2.43,600
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Empresas,5,Irrecuperable,504,10372389.0,20580.1,2.25,0.24,504
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,1,Situacion normal,1553402,5529923892.0,3559.9,82.60,79.38,1553402
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,11,Asistencias totalmente cubiertas con garantias preferidas A,1304,5014521.0,3845.5,0.07,0.07,1304
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,68705,399405294.0,5813.3,3.65,5.73,68705
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,3,Con problemas / riesgo medio,62147,353266911.0,5684.4,3.30,5.07,62147
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,106437,521501216.0,4899.6,5.66,7.49,106437
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Familias,5,Irrecuperable,88730,157129935.0,1770.9,4.72,2.26,88730
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,1,Situacion normal,1573520,9539090586.0,6062.3,82.68,84.33,1573520
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,11,Asistencias totalmente cubiertas con garantias preferidas A,1332,6117220.0,4592.5,0.07,0.05,1332
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,2,Con seguimiento especial / riesgo bajo,69337,557756142.0,8044.1,3.64,4.93,69337
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,3,Con problemas / riesgo medio,62673,413925941.0,6604.5,3.29,3.66,62673
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,4,Con alto riesgo de insolvencia / riesgo alto,107037,627076932.0,5858.5,5.62,5.54,107037
202604,00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,Financiero,Total,5,Irrecuperable,89234,167502324.0,1877.1,4.69,1.48,89234
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,Empresas,1,Situacion normal,14033,5288493834.0,376861.2,90.18,98.09,14033
202604,00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,Financiero,Empresas,11,Asistencias totalmente cubiertas con garantias preferidas A,14,14020757.0,1001482.6,0.09,0.26,14
